gene ID,log2FC,p-value
CGI_10005474,1.95433762,9.91784E-52
CGI_10023396,1.646159199,2.22946E-51
CGI_10001259,4.087564402,5.43845E-51
CGI_10009290,3.662872112,5.85209E-51
CGI_10000854,2.376638512,1.62043E-50
CGI_10016363,1.598470149,2.3716E-50
CGI_10006578,1.71947326,2.38438E-50
CGI_10028125,1.224188078,4.60323E-50
CGI_10024071,2.781244068,1.61984E-49
CGI_10007976,1.545424664,2.13126E-49
CGI_10015429,2.266300762,3.6162E-49
CGI_10019155,2.114708034,5.17071E-49
CGI_10000144,2.070157078,7.58404E-49
CGI_10010457,1.735452916,1.28714E-48
CGI_10009255,1.374007746,4.26954E-48
CGI_10003182,3.335411923,4.70348E-48
CGI_10019898,2.287875394,9.79078E-48
CGI_10003525,2.112399167,1.46081E-47
CGI_10023394,1.385107101,3.73666E-47
CGI_10005182,1.44411006,1.70041E-46
CGI_10003300,1.958839115,2.66221E-46
CGI_10017088,1.902829094,3.04603E-46
CGI_10015030,1.482858475,5.26262E-46
CGI_10002997,2.571415841,9.43081E-46
CGI_10008854,1.489187885,1.53823E-44
CGI_10006046,1.59658355,3.24367E-44
CGI_10024492,1.263257815,5.02493E-44
CGI_10019733,1.32082478,6.21836E-44
CGI_10028806,1.583073601,8.43532E-44
CGI_10006287,3.472762129,2.4758E-43
CGI_10019673,1.949831647,2.88034E-43
CGI_10026230,1.367138826,6.10225E-43
CGI_10021896,1.906607053,1.10859E-42
CGI_10009891,1.700602423,1.97233E-42
CGI_10023358,1.274105896,3.37436E-42
CGI_10019949,1.611394986,4.80672E-42
CGI_10011219,4.106279502,7.11738E-42
CGI_10003270,1.270548729,8.66524E-42
CGI_10011916,1.977145893,9.46334E-42
CGI_10020563,1.127588845,3.60759E-41
CGI_10018725,2.302320149,5.36978E-41
CGI_10026352,1.553605109,9.15941E-41
CGI_10008963,1.075472737,2.68033E-40
CGI_10016989,2.191175215,2.85796E-40
CGI_10022697,1.440906833,5.24567E-40
CGI_10001635,2.414564432,7.13475E-40
CGI_10027982,1.71639966,8.2885E-40
CGI_10026041,1.270172988,8.7647E-40
CGI_10013774,1.604144561,1.29972E-39
CGI_10018475,2.027318678,2.97644E-39
CGI_10009549,3.526358858,4.42796E-39
CGI_10023478,2.819136997,6.04295E-39
CGI_10020902,1.766926262,1.47093E-38
CGI_10011953,2.542805437,2.00466E-38
CGI_10004837,2.25457209,2.7092E-38
CGI_10026148,-1.546426195,4.56571E-38
CGI_10002381,1.770186945,6.02355E-38
CGI_10026451,2.932086306,8.11789E-38
CGI_10017629,1.544684893,8.67505E-38
CGI_10022585,2.15266583,9.6672E-38
CGI_10011967,1.721089017,1.11694E-37
CGI_10021732,1.897964738,1.48516E-37
CGI_10002382,1.782402751,3.45783E-37
CGI_10021601,3.615283736,4.82089E-37
CGI_10005050,1.833506839,1.66902E-36
CGI_10020126,1.157011817,2.33966E-36
CGI_10016055,1.371890211,3.92921E-36
CGI_10003845,1.860473854,1.1254E-35
CGI_10007669,1.766954009,2.37182E-35
CGI_10016209,1.582684942,3.46007E-35
CGI_10011562,1.110934545,3.63872E-35
CGI_10018539,1.742153656,1.24578E-34
CGI_10013429,2.248556287,1.32098E-34
CGI_10006439,1.493078091,1.46469E-34
CGI_10018631,2.502180359,1.90908E-34
CGI_10006478,2.431701288,3.04481E-34
CGI_10004656,1.755858114,4.33361E-34
CGI_10006757,3.281508648,7.88352E-34
CGI_10016056,1.264494178,1.46762E-33
CGI_10017630,1.335032464,1.82967E-33
CGI_10002570,2.801769965,2.76198E-33
CGI_10007598,2.187068988,2.82922E-33
CGI_10006899,1.555884008,3.47947E-33
CGI_10026986,1.57775312,1.12748E-32
CGI_10014534,3.362870867,1.24359E-32
CGI_10001591,1.407273432,2.13507E-32
CGI_10011220,2.983457771,2.45574E-32
CGI_10018909,1.583825048,3.01405E-32
CGI_10013879,1.945111827,3.47097E-32
CGI_10023950,1.204784314,5.51174E-32
CGI_10026568,1.104938073,9.86727E-32
CGI_10003408,1.186187207,1.11359E-31
CGI_10013984,1.044580175,1.54364E-31
CGI_10007265,1.158038409,2.10506E-31
CGI_10012866,1.346047459,3.2741E-31
CGI_10007670,1.751875857,6.47908E-31
CGI_10000462,3.177882995,7.26601E-31
CGI_10027905,1.475173313,7.33916E-31
CGI_10003267,1.454297701,1.17778E-30
CGI_10008013,1.312073833,3.73718E-30
CGI_10007952,1.45608958,4.52731E-30
CGI_10010968,1.98094264,6.11648E-30
CGI_10014616,-1.396088833,6.3881E-30
CGI_10011379,1.548949549,7.85039E-30
CGI_10016399,1.520126174,1.18101E-29
CGI_10023856,1.567857595,1.25592E-29
CGI_10007413,3.443951619,3.21978E-29
CGI_10007684,1.554984432,3.85828E-29
CGI_10013977,1.16560696,9.36122E-29
CGI_10017757,2.906343348,2.6688E-28
CGI_10025980,1.918641267,6.04632E-28
CGI_10003219,1.580504038,6.974E-28
CGI_10021439,1.016373284,9.75497E-28
CGI_10022882,1.385679438,1.07645E-27
CGI_10007066,2.845070034,1.93869E-27
CGI_10010240,1.807624719,4.82923E-27
CGI_10023476,1.584193492,5.9287E-27
CGI_10027619,1.448998684,6.46406E-27
CGI_10013524,1.462035813,6.76571E-27
CGI_10018786,1.167696604,7.29593E-27
CGI_10028495,-1.194286507,8.31413E-27
CGI_10003996,-1.091815212,1.22397E-26
CGI_10015397,1.453379914,2.33458E-26
CGI_10016225,2.842196774,3.2091E-26
CGI_10025213,2.286644572,5.51126E-26
CGI_10020752,1.551575098,5.96821E-26
CGI_10000466,1.577738898,7.36963E-26
CGI_10020878,3.025790305,7.70383E-26
CGI_10010983,1.128480616,1.44561E-25
CGI_10000793,1.453522004,1.47531E-25
CGI_10016164,1.287314186,2.19375E-25
CGI_10023893,1.851055748,2.7861E-25
CGI_10024733,1.067949409,3.73068E-25
CGI_10016208,1.496626719,4.93699E-25
CGI_10010192,1.252481888,5.79996E-25
CGI_10025773,2.59279743,6.38354E-25
CGI_10011328,1.398376558,7.24448E-25
CGI_10027442,1.082879639,9.39858E-25
CGI_10001869,1.563734614,1.19703E-24
CGI_10001976,1.289555207,1.5075E-24
CGI_10010088,1.466602324,1.94206E-24
CGI_10014140,3.111961072,2.00279E-24
CGI_10028286,1.328945894,3.29594E-24
CGI_10022326,-1.153009643,3.36598E-24
CGI_10012482,1.316864229,4.08658E-24
CGI_10023914,2.879722354,5.44802E-24
CGI_10001875,1.198907478,6.4545E-24
CGI_10014323,-0.958397905,7.82671E-24
CGI_10018147,1.564883232,9.9985E-24
CGI_10012815,0.981836172,1.49723E-23
CGI_10026316,1.25694601,3.46087E-23
CGI_10023425,1.687205403,4.24919E-23
CGI_10010477,1.969113376,4.85573E-23
CGI_10020161,1.011364036,4.93708E-23
CGI_10024295,1.221673079,1.00724E-22
CGI_10000338,1.247823423,1.13939E-22
CGI_10022144,1.23860135,2.05819E-22
CGI_10023158,2.058607486,2.7229E-22
CGI_10011218,3.024120919,3.28446E-22
CGI_10017501,1.826233714,3.76343E-22
CGI_10010123,1.673130095,4.80042E-22
CGI_10011153,2.309497117,4.81689E-22
CGI_10004992,-1.821189069,6.71767E-22
CGI_10022810,2.84140231,6.72805E-22
CGI_10017993,1.611362251,7.65135E-22
CGI_10011216,2.82356597,1.04285E-21
CGI_10010589,1.517702704,1.18331E-21
CGI_10007981,1.844462177,1.94258E-21
CGI_10002196,1.060567643,1.94521E-21
CGI_10021916,0.975578305,4.33998E-21
CGI_10019151,1.279969406,6.74874E-21
CGI_10006084,1.468167225,6.84446E-21
CGI_10027910,1.300671255,7.00921E-21
CGI_10018536,2.220716348,1.21762E-20
CGI_10012322,0.953172906,1.27759E-20
CGI_10028473,0.960656388,1.41198E-20
CGI_10002871,2.683990224,1.49836E-20
CGI_10019576,1.428883056,1.55757E-20
CGI_10011327,0.84078223,1.78391E-20
CGI_10026717,2.179660539,1.79596E-20
CGI_10004709,1.878778397,2.58102E-20
CGI_10008241,1.667019178,3.34134E-20
CGI_10021136,2.409365097,3.70703E-20
CGI_10000389,2.041384296,4.48168E-20
CGI_10012980,1.037737538,4.61709E-20
CGI_10025150,2.25929652,5.51005E-20
CGI_10026818,1.060315855,5.66136E-20
CGI_10018787,1.35747401,6.24285E-20
CGI_10011780,1.557923009,7.09777E-20
CGI_10018834,-1.22610093,9.02323E-20
CGI_10028418,2.958230757,1.96013E-19
CGI_10012337,1.531589955,2.17581E-19
CGI_10001114,1.075154774,2.66761E-19
CGI_10007759,0.891733354,4.68894E-19
CGI_10022707,1.082262128,6.75213E-19
CGI_10015363,1.464101483,7.28649E-19
CGI_10022970,0.863163084,8.55573E-19
CGI_10005916,-1.097434869,8.7398E-19
CGI_10019657,1.863822629,8.78983E-19
CGI_10019222,1.688379604,1.00359E-18
CGI_10021733,1.05410552,1.21773E-18
CGI_10022210,1.558748457,1.89769E-18
CGI_10009621,0.89849604,2.35854E-18
CGI_10011104,1.104264945,2.84797E-18
CGI_10016652,1.005218314,2.86186E-18
CGI_10013207,0.963360158,3.12941E-18
CGI_10024094,-0.829502641,3.13373E-18
CGI_10022309,0.890761874,5.52279E-18
CGI_10004092,-0.99992537,7.22473E-18
CGI_10007860,-0.940279846,7.284E-18
CGI_10004124,1.2491746,8.89146E-18
CGI_10022550,1.520703115,9.62413E-18
CGI_10002951,1.004932064,1.06396E-17
CGI_10015394,-0.690649157,1.11236E-17
CGI_10016057,1.318101907,1.16093E-17
CGI_10012816,0.981702316,1.32358E-17
CGI_10013925,1.652620342,1.78452E-17
CGI_10018986,1.429788946,2.02841E-17
CGI_10014536,2.474122424,2.12278E-17
CGI_10006085,2.439453987,3.33181E-17
CGI_10017464,1.989843289,3.35023E-17
CGI_10012697,1.274800413,4.37053E-17
CGI_10007774,0.903718321,5.88885E-17
CGI_10008877,-0.774994724,8.48156E-17
CGI_10000686,1.388872446,9.88688E-17
CGI_10007687,-1.41465692,1.44862E-16
CGI_10007070,0.85115814,1.49816E-16
CGI_10018632,2.310121129,2.23632E-16
CGI_10018993,-1.11850617,3.05302E-16
CGI_10022051,2.238501771,3.81184E-16
CGI_10015738,0.726538207,3.94486E-16
CGI_10008584,0.849703043,4.88817E-16
CGI_10018988,1.321984807,5.27696E-16
CGI_10001497,-1.183320198,6.75252E-16
CGI_10027850,1.520055461,8.12098E-16
CGI_10023949,1.071362886,1.01019E-15
CGI_10002171,1.438807277,1.28156E-15
CGI_10018753,2.338746591,1.31495E-15
CGI_10003431,-0.990239774,1.4096E-15
CGI_10013586,2.008898472,1.4096E-15
CGI_10016036,0.779949392,1.54498E-15
CGI_10013040,0.829930233,1.9806E-15
CGI_10007057,0.8592123,2.06291E-15
CGI_10026431,-1.089713972,2.25737E-15
CGI_10016022,1.123123794,2.63361E-15
CGI_10022834,1.076520934,3.08012E-15
CGI_10003484,1.277868653,3.29275E-15
