gene ID,log2FC,p-value
CGI_10028415,-0.292760638,0.087319625
CGI_10026342,-0.466785978,0.087326636
CGI_10017095,0.212200825,0.087337673
CGI_10011308,0.510943702,0.087385975
CGI_10021044,0.279200104,0.087385975
CGI_10026688,-0.412431994,0.087385975
CGI_10018008,-0.627921694,0.087405273
CGI_10016931,-0.310035931,0.087437132
CGI_10004910,-0.780231239,0.087457724
CGI_10028375,-0.694867465,0.087485182
CGI_10016723,0.341939034,0.087531997
CGI_10027142,-0.366432659,0.0876816
CGI_10002952,0.374053808,0.087715666
CGI_10006205,-0.718165476,0.087715666
CGI_10000426,-0.404134143,0.087734305
CGI_10001538,0.251613443,0.087734305
CGI_10006187,0.339012452,0.087734305
CGI_10012420,0.35693239,0.087734305
CGI_10017739,-0.303646337,0.087734305
CGI_10018729,0.71743535,0.087734305
CGI_10022295,0.560721295,0.087734305
CGI_10023223,-0.763145288,0.087748422
CGI_10020744,0.391746125,0.087897513
CGI_10012732,0.381397319,0.087935761
CGI_10000949,0.349326596,0.08801632
CGI_10017806,0.239916256,0.08801632
CGI_10008201,-0.360983825,0.088133767
CGI_10002766,-0.601284893,0.088152007
CGI_10014600,-0.39664165,0.088152894
CGI_10028637,-0.362924506,0.088179106
CGI_10011147,-0.554570953,0.088273851
CGI_10018283,-0.720818273,0.088275584
CGI_10001552,-0.338593906,0.088378802
CGI_10028303,-0.776665563,0.088624048
CGI_10024208,-0.653424379,0.088834596
CGI_10024692,0.409615179,0.088855628
CGI_10016357,-0.751976978,0.088869338
CGI_10015064,-0.365882208,0.088905619
CGI_10012342,-0.320936763,0.08890878
CGI_10028335,-0.221553253,0.088998752
CGI_10027110,-0.376350004,0.089041782
CGI_10023252,-0.2296553,0.08904276
CGI_10027320,-0.319528707,0.08904276
CGI_10004077,-0.483592074,0.089136863
CGI_10012096,-0.208183974,0.089136863
CGI_10016505,-0.429231279,0.089136863
CGI_10017744,0.280970853,0.089136863
CGI_10018727,-0.750930593,0.08914009
CGI_10010517,0.724982899,0.089193912
CGI_10014787,-0.745117513,0.089294036
CGI_10022018,-0.408281335,0.089336358
CGI_10016396,0.606155546,0.089342429
CGI_10021530,0.231566783,0.08939567
CGI_10019739,0.262483218,0.089422668
CGI_10024851,-0.23121747,0.089476863
CGI_10003588,0.352983383,0.089588803
CGI_10004618,-0.724846909,0.089642294
CGI_10016359,-0.364792466,0.089700703
CGI_10026060,-0.26489743,0.089700703
CGI_10006185,0.277747572,0.089761284
CGI_10024102,0.339028785,0.090054322
CGI_10025507,-0.39451479,0.090120562
CGI_10025383,-0.272143357,0.090338349
CGI_10004530,-0.608517908,0.090369757
CGI_10005537,0.226576631,0.090416217
CGI_10007875,0.40238912,0.090416217
CGI_10009656,-0.551395818,0.090416217
CGI_10012687,0.268241134,0.090416217
CGI_10015114,-0.496502471,0.090428647
CGI_10022255,0.415718362,0.090739057
CGI_10016419,-0.537521921,0.090773007
CGI_10028201,-0.420253267,0.090813324
CGI_10003173,-0.361007849,0.090866414
CGI_10009973,-0.369807019,0.090930825
CGI_10005552,0.437011387,0.091111353
CGI_10019313,0.266185421,0.091209638
CGI_10023435,-0.216141073,0.091209638
CGI_10010737,-0.705407066,0.091229492
CGI_10026762,0.513119904,0.091315446
CGI_10026035,0.359018328,0.091330746
CGI_10016386,-0.648274871,0.091449865
CGI_10015914,-0.264089058,0.091486067
CGI_10010848,0.400278885,0.091492203
CGI_10009078,-0.471912567,0.091639723
CGI_10011895,-0.381851539,0.09175051
CGI_10005816,-0.388609824,0.091811972
CGI_10000003,0.752003693,0.09191112
CGI_10006015,-0.243777585,0.09191112
CGI_10015862,0.42016628,0.091918976
CGI_10005087,-0.28241813,0.091946928
CGI_10024281,-0.557418802,0.091946928
CGI_10021467,-0.381117587,0.091953012
CGI_10024231,0.725241602,0.092049217
CGI_10004021,0.382735265,0.092112541
CGI_10017142,0.194477302,0.092112541
CGI_10024548,0.340756733,0.092112541
CGI_10000731,-0.574245585,0.09219459
CGI_10016668,-0.765847973,0.09219459
CGI_10024691,-0.222379849,0.09219459
CGI_10004436,0.333543607,0.09228449
CGI_10028541,-0.308841785,0.092375134
CGI_10027168,-0.485662426,0.092398278
CGI_10026336,0.310452964,0.092407732
CGI_10011268,0.74798694,0.092602344
CGI_10000695,0.442619639,0.092692845
CGI_10022112,0.223718778,0.092738011
CGI_10024340,-0.336412287,0.092738011
CGI_10008183,-0.304053869,0.092801753
CGI_10022635,-0.52402545,0.092820432
CGI_10025619,0.321336679,0.093089281
CGI_10013537,-0.503013506,0.093115607
CGI_10021846,-0.597502789,0.093186304
CGI_10022997,-0.348134219,0.093186304
CGI_10013197,-0.335637104,0.093230731
CGI_10026965,0.374100286,0.093230731
CGI_10001409,-0.310500518,0.093311252
CGI_10006791,0.210653884,0.093354058
CGI_10011783,0.256242014,0.09343612
CGI_10025232,-0.357764681,0.0934563
CGI_10005459,-0.308264055,0.093466885
CGI_10026550,-0.405662984,0.093498677
CGI_10006066,0.587757415,0.093557486
CGI_10024078,-0.267980664,0.093557486
CGI_10028581,-0.417225322,0.09374734
CGI_10003662,-0.500463984,0.093755109
CGI_10026235,0.76948474,0.093849772
CGI_10020244,-0.579171794,0.094015256
CGI_10023235,-0.536889239,0.094015256
CGI_10020774,-0.753711829,0.094163313
CGI_10011711,-0.768109915,0.094177683
CGI_10000358,0.430739582,0.094353693
CGI_10004029,0.214718085,0.094353693
CGI_10015410,0.251213457,0.09439684
CGI_10026428,0.345525768,0.094444777
CGI_10014512,-0.761230243,0.094507093
CGI_10025272,0.330560254,0.094507093
CGI_10018743,0.275521461,0.094572985
CGI_10008534,-0.474539947,0.094575845
CGI_10028320,-0.241017109,0.094582137
CGI_10002809,-0.544117995,0.094591598
CGI_10021536,-0.442497872,0.094591598
CGI_10023362,0.243770604,0.09473628
CGI_10017884,-0.230330085,0.094811236
CGI_10025427,0.266534829,0.09487245
CGI_10023912,0.274633321,0.094923837
CGI_10004541,0.487260896,0.094923919
CGI_10011699,0.346957085,0.094923919
CGI_10020263,-0.452849774,0.094923919
CGI_10028309,-0.339749486,0.094923919
CGI_10009121,-0.332904887,0.094967369
CGI_10028019,0.235821904,0.094967369
CGI_10019421,0.363181568,0.095052837
CGI_10015499,-0.738449083,0.095109826
CGI_10006983,0.262740048,0.095484434
CGI_10011273,-0.416736148,0.095544909
CGI_10014345,-0.268969052,0.095554298
CGI_10010299,-0.266684021,0.095727059
CGI_10017639,-0.420051861,0.095733416
CGI_10021984,0.330853755,0.095753593
CGI_10026565,-0.462629193,0.095940985
CGI_10004204,0.455180887,0.095991667
CGI_10017412,0.454127077,0.095991667
CGI_10006021,-0.294305051,0.096060268
CGI_10010789,-0.555703363,0.096060268
CGI_10006480,-0.738407246,0.096098891
CGI_10008752,-0.266281499,0.096098891
CGI_10010794,0.574309435,0.096098891
CGI_10011336,-0.352697266,0.096148196
CGI_10003453,-0.59998819,0.096153286
CGI_10012121,0.535652136,0.096153286
CGI_10018647,-0.284312277,0.096153286
CGI_10024561,0.333776321,0.096153286
CGI_10027207,0.350586452,0.09632663
CGI_10014797,-0.460925514,0.096404862
CGI_10000555,0.346144247,0.096415085
CGI_10002839,0.407475524,0.096415085
CGI_10007837,0.363957492,0.096415085
CGI_10010385,-0.676251544,0.096425094
CGI_10014989,0.728579675,0.096466342
CGI_10015758,-0.628888605,0.096466342
CGI_10023664,-0.502208287,0.096466342
CGI_10027824,0.205203337,0.096513505
CGI_10018593,-0.638813832,0.096519966
CGI_10014726,0.209044272,0.096546004
CGI_10019623,0.235476242,0.096546004
CGI_10023437,0.219688881,0.096546004
CGI_10006326,0.388368973,0.09658428
CGI_10007012,0.326236236,0.096683636
CGI_10017877,0.67373197,0.096683636
CGI_10011080,0.24058091,0.096773215
CGI_10016369,-0.760766618,0.096843841
CGI_10002335,-0.526878092,0.096890072
CGI_10025857,-0.370590177,0.096923375
CGI_10009128,0.320456121,0.097149495
CGI_10004228,-0.2145146,0.097216686
CGI_10008607,-0.244311403,0.097253458
CGI_10017166,0.382000796,0.097292912
CGI_10024026,0.240538817,0.097292912
CGI_10002899,-0.255358412,0.097397627
CGI_10013648,0.28420859,0.097453932
CGI_10015153,-0.271174334,0.097453932
CGI_10013738,0.611248814,0.097644405
CGI_10009814,-0.286012735,0.097769919
CGI_10016414,0.336287591,0.097769919
CGI_10012104,-0.485007803,0.097844879
CGI_10009298,-0.378051983,0.097850786
CGI_10028862,-0.400048748,0.097850786
CGI_10020760,-0.356009714,0.097875732
CGI_10003968,0.36016191,0.097881087
CGI_10005512,-0.572266544,0.097881087
CGI_10021623,0.582531483,0.097881087
CGI_10023782,-0.693207905,0.097881087
CGI_10026691,-0.603958138,0.097881087
CGI_10007290,0.492075626,0.097885831
CGI_10017922,-0.260077015,0.098187166
CGI_10015017,-0.474598141,0.098311032
CGI_10019406,-0.712961509,0.098311032
CGI_10008760,-0.554535256,0.098360705
CGI_10013455,0.322293431,0.098360705
CGI_10016266,0.263956572,0.098432289
CGI_10000246,-0.382116683,0.098483239
CGI_10004986,0.655702165,0.098483239
CGI_10017504,-0.356727034,0.098483239
CGI_10025253,0.293213063,0.098483239
CGI_10026039,-0.330220405,0.098487805
CGI_10004848,-0.401779709,0.098701497
CGI_10001276,-0.258712085,0.098730465
CGI_10018355,-0.571235008,0.098772734
CGI_10019812,0.686801348,0.098772734
CGI_10010246,0.347253134,0.098774185
CGI_10018856,-0.213780697,0.098778117
CGI_10027183,-0.417828627,0.098801626
CGI_10005753,0.331297205,0.09885976
CGI_10001573,0.355013252,0.098931657
CGI_10005180,-0.400463129,0.098934668
CGI_10007929,0.353683581,0.098934668
CGI_10010963,0.277340039,0.098934668
CGI_10016323,0.227560106,0.098934668
CGI_10013488,-0.480626968,0.099009227
CGI_10017638,-0.345108029,0.099030145
CGI_10005416,-0.505956277,0.099333172
CGI_10025937,0.304263201,0.099375115
CGI_10003224,-0.227466827,0.099401641
CGI_10004536,0.338743176,0.099401641
CGI_10010924,0.255834095,0.099401641
CGI_10002475,0.322744416,0.099441252
CGI_10010706,-0.192484179,0.099441252
CGI_10020226,-0.488309744,0.099441252
CGI_10000187,0.596916707,0.09953895
CGI_10027087,-0.291770122,0.09953895
CGI_10007914,0.467587662,0.099574841
CGI_10013494,-0.215201613,0.099574841
CGI_10021814,-0.681776891,0.099574841
CGI_10028641,0.24863714,0.099574841
CGI_10026210,-0.457573304,0.099818805
CGI_10007716,0.375241229,0.100042386
CGI_10028229,-0.216402758,0.100138874
CGI_10025219,-0.530511398,0.100400311
CGI_10018465,-0.447853864,0.100552071
CGI_10028897,-0.393326897,0.100599165
CGI_10018226,0.248946737,0.100759368
CGI_10025912,-0.205690038,0.100821365
CGI_10021883,0.324102219,0.100881946
CGI_10017227,0.245373379,0.100916817
CGI_10019244,-0.225688505,0.100998031
CGI_10025611,0.199733289,0.101155493
CGI_10010049,0.658552685,0.101197043
CGI_10011572,0.246120912,0.101197043
CGI_10014935,-0.481160162,0.101197043
CGI_10007709,-0.226731902,0.101372686
CGI_10012361,-0.499027622,0.101535287
CGI_10004734,-0.348512649,0.10170895
CGI_10010000,0.515732054,0.101843541
CGI_10004631,0.481167795,0.102054084
CGI_10009104,-0.206243396,0.102115087
CGI_10020710,-0.440605782,0.102115087
CGI_10022139,0.24343879,0.102115087
CGI_10013321,-0.367640653,0.102201229
CGI_10014521,-0.557671158,0.102201229
CGI_10028843,-0.191744412,0.102201229
CGI_10017478,-0.515101271,0.10261741
CGI_10026361,0.298775619,0.10261741
CGI_10013667,0.349969079,0.102878751
CGI_10014328,-0.337496291,0.103063322
CGI_10020851,-0.216804641,0.103166884
CGI_10022157,0.222417703,0.103197058
CGI_10010297,0.475966748,0.103470452
CGI_10014309,-0.465501902,0.103470452
CGI_10003100,0.330021979,0.1034959
CGI_10003717,-0.75266006,0.1034959
CGI_10010974,-0.199093832,0.1034959
CGI_10025879,-0.595521977,0.1034959
CGI_10000497,0.391554403,0.103803572
CGI_10003959,-0.271144657,0.103803572
CGI_10025261,-0.398850045,0.103803572
CGI_10003277,0.310094376,0.103906141
CGI_10013459,-0.243870839,0.103969465
CGI_10014233,-0.561492916,0.103969465
CGI_10022780,0.35404706,0.103969465
CGI_10014685,-0.716360712,0.103987304
CGI_10026155,0.216243825,0.104135763
CGI_10010242,-0.459452574,0.104166339
CGI_10025530,0.53480787,0.104179952
CGI_10003416,0.696336178,0.104203469
CGI_10020784,-0.329804041,0.104328825
CGI_10022641,-0.690576827,0.104328825
CGI_10019389,0.474406558,0.104342847
CGI_10007588,-0.605945799,0.104440269
CGI_10016819,-0.236371164,0.104440269
CGI_10017928,-0.324856841,0.104440269
CGI_10024261,-0.471800927,0.104454776
CGI_10019041,0.264271781,0.104619398
CGI_10026896,0.352932967,0.104679612
CGI_10017491,0.234807793,0.104707322
CGI_10019589,-0.251557273,0.104730576
CGI_10016846,-0.750021328,0.105101566
CGI_10006353,0.19964037,0.105137911
CGI_10026863,-0.367781356,0.105137911
CGI_10022592,-0.511795426,0.105143446
CGI_10000333,0.563645163,0.105225057
CGI_10003599,0.253499971,0.105225057
CGI_10011831,-0.290210988,0.105225057
CGI_10013389,-0.712193388,0.105225057
CGI_10023232,-0.729217997,0.105225057
CGI_10015504,0.266978308,0.105429084
CGI_10019009,-0.450404745,0.105429084
CGI_10009171,-0.676300645,0.105650639
CGI_10015844,0.635647052,0.105745943
CGI_10009928,-0.237765045,0.105795468
CGI_10015925,0.253317681,0.105795468
CGI_10021320,-0.554458777,0.105795468
CGI_10028922,-0.57409462,0.105795468
CGI_10001263,0.231892573,0.10589285
CGI_10007576,-0.231389487,0.105963078
CGI_10011072,-0.470582011,0.105963078
CGI_10019098,-0.376272695,0.105963078
CGI_10028313,-0.67322788,0.105992134
CGI_10023805,-0.242984149,0.106131513
CGI_10023352,0.280002906,0.106136503
CGI_10027092,-0.662658028,0.106198165
CGI_10006971,0.259222921,0.106216614
CGI_10004760,0.21744608,0.106266682
CGI_10008586,-0.342836828,0.106268254
CGI_10010720,0.207555355,0.106268254
CGI_10013778,-0.3075839,0.106268254
CGI_10014606,-0.586165268,0.106268254
CGI_10015439,0.30767492,0.106311431
CGI_10009699,-0.505064818,0.106346891
CGI_10008834,-0.408614928,0.106445913
CGI_10004757,0.327246188,0.1064711
CGI_10011640,-0.207959133,0.1064711
CGI_10020100,-0.740988694,0.10648859
CGI_10003348,-0.257448789,0.106541718
CGI_10023201,-0.492842387,0.106582012
CGI_10011039,-0.417538078,0.106609063
CGI_10028478,0.398214158,0.106703476
CGI_10016351,0.306764673,0.10675449
CGI_10014322,-0.746758469,0.106831634
CGI_10008753,-0.392377444,0.107067694
CGI_10014329,-0.284874281,0.107118961
CGI_10020351,-0.271086466,0.107249932
CGI_10017892,-0.38543058,0.107260836
CGI_10013048,-0.428961594,0.107449608
CGI_10004996,-0.722053006,0.107543417
CGI_10005981,0.434835487,0.107543417
CGI_10014288,0.328541865,0.107760195
CGI_10012074,-0.532542119,0.107799705
CGI_10021463,0.714797835,0.107799705
CGI_10024723,0.261077361,0.10782972
CGI_10026011,0.208262806,0.10786612
CGI_10006417,-0.698219481,0.107941806
CGI_10025390,-0.450482401,0.107941806
CGI_10025096,0.344296375,0.10795153
CGI_10009508,-0.240366003,0.108263661
CGI_10010296,0.271691825,0.108351141
CGI_10011134,-0.229023003,0.108407594
CGI_10007291,-0.43690215,0.108688974
CGI_10010910,0.547495204,0.108803153
CGI_10012569,-0.293142083,0.108803153
CGI_10002458,0.272987546,0.108940278
CGI_10005427,-0.62393755,0.108977347
CGI_10009048,-0.70753394,0.109062231
CGI_10010834,-0.375229915,0.109212856
CGI_10010382,-0.457125837,0.109214743
CGI_10019413,-0.391522269,0.109214743
CGI_10025878,-0.74286763,0.109364197
CGI_10024098,0.424929891,0.109368786
CGI_10008602,-0.38060576,0.109434826
CGI_10028479,-0.377338346,0.109508511
CGI_10023928,0.23946373,0.109704297
CGI_10010669,-0.633568299,0.109958205
CGI_10011169,0.523485749,0.11019792
CGI_10026174,-0.287009003,0.11032604
CGI_10012939,-0.50326463,0.110349204
CGI_10010683,-0.406836122,0.110411012
CGI_10022729,0.215502427,0.110411012
CGI_10011391,-0.60599767,0.110644343
CGI_10025516,0.621715433,0.11065438
CGI_10006373,0.328397441,0.11078872
CGI_10006557,0.235173674,0.11078872
CGI_10028918,-0.602818676,0.110792797
CGI_10005964,-0.693874342,0.110802597
CGI_10020262,-0.286151184,0.110802597
CGI_10017676,0.279098595,0.110834176
CGI_10026999,0.331038334,0.110888695
CGI_10019944,0.733219602,0.111090888
CGI_10021580,0.270443952,0.111301752
CGI_10017081,0.625137995,0.111394472
CGI_10008808,0.258707267,0.111547386
CGI_10013193,-0.2238112,0.111547386
CGI_10017138,-0.395540115,0.111547386
CGI_10018878,0.215877295,0.111547386
CGI_10013014,-0.396101241,0.111572508
CGI_10003158,0.273015627,0.111659812
CGI_10028832,0.47055129,0.111774455
CGI_10002180,-0.572634988,0.111934999
CGI_10020667,-0.343476074,0.111934999
CGI_10001665,-0.206320818,0.111961916
CGI_10019660,-0.256313644,0.11230608
CGI_10002464,-0.580042344,0.112462993
CGI_10021573,-0.476009488,0.112518604
CGI_10008905,-0.306215841,0.112551183
CGI_10011290,0.242022462,0.112686381
CGI_10019711,-0.21198107,0.112788941
CGI_10020990,0.225211955,0.112788941
CGI_10025431,-0.298718349,0.112788941
CGI_10028556,-0.269684903,0.112806736
CGI_10015142,-0.249163852,0.112905362
CGI_10008833,-0.357588332,0.113168088
CGI_10014741,0.254278063,0.113168088
CGI_10017723,0.213800118,0.113168088
CGI_10002749,0.279096107,0.113261627
CGI_10004543,-0.522543274,0.113292747
CGI_10007581,-0.332947122,0.113331402
CGI_10025108,-0.546196834,0.113331402
CGI_10013792,0.5289772,0.113573836
CGI_10017693,0.265775637,0.113573836
CGI_10016928,0.214149088,0.113583249
CGI_10008997,-0.209144609,0.113627352
CGI_10006587,-0.476025704,0.113764686
CGI_10008327,0.313169984,0.113908069
CGI_10026925,-0.401409276,0.113908069
CGI_10006048,-0.334711166,0.114013414
CGI_10004404,-0.639497931,0.114029071
CGI_10007437,-0.516706522,0.11406179
CGI_10019738,0.693732696,0.114326197
CGI_10010450,-0.526783548,0.114417349
CGI_10004198,-0.535116616,0.114503064
CGI_10025460,-0.620261773,0.114512977
CGI_10024846,-0.236450017,0.114936805
CGI_10015767,0.664526172,0.115208149
CGI_10027418,-0.481325002,0.115208149
CGI_10022722,-0.703101706,0.115243058
CGI_10024256,-0.420146075,0.115250248
CGI_10017967,0.27495187,0.115363569
CGI_10001628,0.469181089,0.115384551
CGI_10014318,-0.54433985,0.115384551
CGI_10020747,-0.414500833,0.115519736
CGI_10015337,0.666126998,0.115722297
CGI_10023883,-0.645922418,0.115948754
CGI_10007311,0.586915003,0.115986088
CGI_10003118,0.593301983,0.116123471
CGI_10017709,0.212781563,0.116228388
CGI_10005423,0.461028767,0.116276611
CGI_10019235,0.186900762,0.116283732
CGI_10026495,-0.207057888,0.116283732
CGI_10014100,-0.404659898,0.116565972
CGI_10028030,0.18497439,0.116626316
CGI_10024850,-0.258665704,0.116642924
CGI_10001345,0.528072042,0.116743149
CGI_10012568,-0.229392429,0.116743149
CGI_10018174,0.378709732,0.116743149
CGI_10008561,-0.546018189,0.11692071
CGI_10016110,-0.597537718,0.11692071
CGI_10007339,-0.587966976,0.117156096
CGI_10012775,0.261322663,0.117313413
CGI_10019439,-0.239664167,0.117460148
CGI_10022883,0.30642329,0.117460148
CGI_10006575,0.250963027,0.117580723
CGI_10022042,0.171593233,0.117580723
CGI_10008119,-0.569460151,0.1176602
CGI_10024924,-0.306983285,0.117689234
CGI_10000061,0.347857715,0.117798373
CGI_10012744,-0.273446308,0.117930054
CGI_10024349,-0.444456873,0.11800984
CGI_10012122,0.357133317,0.118016792
CGI_10001197,0.721263254,0.11807299
CGI_10017533,-0.190034258,0.11807299
CGI_10024479,0.456863035,0.11807299
CGI_10027499,0.685884313,0.11807299
CGI_10006031,0.313602831,0.118130987
CGI_10006957,-0.493292413,0.118130987
CGI_10004565,0.226433054,0.118229775
CGI_10004817,-0.60172215,0.118229775
CGI_10008870,0.169149902,0.118229775
CGI_10024778,0.305399602,0.118273376
CGI_10004161,0.357758127,0.11832309
CGI_10028067,-0.694422198,0.118401728
CGI_10016365,-0.563997911,0.11847923
CGI_10028455,-0.315143002,0.118479901
CGI_10007876,-0.475828004,0.118681369
CGI_10014838,0.187221719,0.118728938
CGI_10018366,-0.176756119,0.118728938
CGI_10015133,0.71479809,0.118872701
CGI_10016878,0.33558448,0.118872701
CGI_10017847,0.35364981,0.118920576
CGI_10024725,0.310799522,0.119068857
CGI_10004443,0.31716273,0.119070027
CGI_10011816,-0.39133163,0.119070027
CGI_10016180,0.241319621,0.119070027
CGI_10018633,0.64503511,0.119070027
CGI_10021005,-0.248420562,0.119070027
CGI_10018821,-0.335592378,0.119124979
CGI_10001397,0.432387636,0.119221245
CGI_10003848,-0.337759104,0.119221245
CGI_10008186,0.653236794,0.119221245
CGI_10018949,0.502252439,0.119221245
CGI_10020934,-0.251869299,0.119221245
CGI_10015929,-0.483769892,0.119587736
CGI_10002556,0.320088441,0.119609503
CGI_10018006,0.197351175,0.119662658
CGI_10019681,-0.340039086,0.119688885
CGI_10002607,-0.677726456,0.119791607
CGI_10008386,0.23971897,0.119791607
CGI_10011669,0.381374515,0.119791607
CGI_10014777,0.538130067,0.119791607
CGI_10006849,0.240260942,0.119820975
CGI_10020048,0.247872709,0.119836674
CGI_10016708,-0.233177009,0.119894924
CGI_10020841,0.268660096,0.119945426
CGI_10017931,-0.287529029,0.120093154
CGI_10012881,0.30463278,0.120146701
CGI_10022574,-0.614346656,0.120214774
CGI_10005784,-0.190099971,0.120364577
CGI_10010821,0.255119568,0.120364577
CGI_10021824,-0.238356399,0.120364577
CGI_10024006,-0.251082652,0.120364577
CGI_10007978,-0.630170454,0.120409915
CGI_10007928,0.264269755,0.120477673
CGI_10014265,0.362700914,0.120477673
CGI_10010613,0.335575405,0.120509095
CGI_10011057,-0.312767955,0.120526672
CGI_10023571,-0.300889187,0.120611355
CGI_10025687,0.678113605,0.120611355
CGI_10005722,0.260177132,0.120861092
CGI_10020432,-0.25514,0.120892618
CGI_10007701,0.231897295,0.120915327
CGI_10018826,0.253553661,0.120975569
CGI_10003871,-0.246213063,0.121167312
CGI_10027274,0.391484179,0.121167312
CGI_10001667,0.331489191,0.121267059
CGI_10001254,-0.573745016,0.12128657
CGI_10006715,-0.313877171,0.121353943
CGI_10014647,0.356173986,0.121353943
CGI_10010721,0.204537186,0.121531688
CGI_10025362,-0.403260165,0.121698583
CGI_10007306,0.281680959,0.121715767
CGI_10016401,0.196688271,0.121796302
CGI_10016624,0.480708155,0.121856467
CGI_10021424,-0.194539034,0.121872392
CGI_10010824,0.306140163,0.121880013
CGI_10012216,0.32898115,0.121931241
CGI_10016612,0.265279718,0.122025256
CGI_10004363,-0.233699171,0.122075868
CGI_10003956,-0.454291473,0.122152916
CGI_10011673,0.35440483,0.122152916
CGI_10017021,-0.300868809,0.122152916
CGI_10015609,-0.53959201,0.122170116
CGI_10022490,-0.420161334,0.122200232
CGI_10024629,-0.249444033,0.122355993
CGI_10019759,-0.208407946,0.122403206
CGI_10025836,0.190287982,0.122569877
CGI_10015601,-0.454863405,0.122756422
CGI_10005781,0.571129806,0.122774332
CGI_10004301,-0.349660234,0.12294592
CGI_10008290,-0.722529625,0.12294592
CGI_10018157,0.393122073,0.12294592
CGI_10022636,-0.511803024,0.12294592
CGI_10010842,0.719091086,0.122951879
CGI_10016493,0.583191903,0.122951879
CGI_10022331,-0.26191171,0.122951879
CGI_10012413,-0.278203652,0.123146618
CGI_10019584,0.241241928,0.123329524
CGI_10015178,-0.722305001,0.123401145
CGI_10020310,0.246854681,0.123716116
CGI_10003515,0.419050233,0.123863215
CGI_10009338,-0.391711786,0.123863215
CGI_10010281,-0.563772002,0.123863215
CGI_10019754,-0.266138468,0.123863215
CGI_10019836,-0.469381374,0.123863215
CGI_10024124,-0.306898169,0.123863215
CGI_10026099,-0.200948534,0.123863215
CGI_10021606,0.244890513,0.123917061
CGI_10022273,-0.437402618,0.123917061
CGI_10000237,0.249443744,0.123962938
CGI_10008429,-0.610733782,0.123962938
CGI_10017975,0.603238168,0.12404675
CGI_10005641,0.33266943,0.124105845
CGI_10001436,0.684503908,0.124108543
CGI_10005792,-0.472812679,0.124182388
CGI_10020047,0.306463563,0.124182388
CGI_10007585,-0.654249633,0.124500814
CGI_10005867,0.401179857,0.124611434
CGI_10011886,0.463132212,0.124611434
CGI_10022937,0.444304848,0.124611434
CGI_10025033,0.336360902,0.124611434
CGI_10000066,0.332701866,0.124820091
CGI_10016870,0.207319611,0.124820091
CGI_10009767,0.188985037,0.124899258
CGI_10002011,-0.699532187,0.125022599
CGI_10017469,-0.320383884,0.125022599
CGI_10021698,0.310341135,0.125022599
CGI_10020368,-0.430148937,0.125058681
CGI_10021418,-0.480434662,0.125058681
CGI_10028807,0.617691638,0.125058681
CGI_10005467,-0.208708617,0.125103311
CGI_10025255,-0.527216082,0.125103311
CGI_10016196,0.260115176,0.125167684
CGI_10008379,-0.623815951,0.125345945
CGI_10014541,-0.210223435,0.125599716
CGI_10019889,0.618420402,0.125599716
CGI_10008546,0.402601839,0.1256847
CGI_10010757,0.214034811,0.125718363
CGI_10020720,0.486431445,0.125718363
CGI_10017610,-0.225057327,0.125733307
CGI_10015913,-0.40588401,0.125735551
CGI_10016176,-0.539134164,0.125804275
CGI_10018923,0.422982467,0.125828918
CGI_10003113,0.611008356,0.125850545
CGI_10018546,-0.680469508,0.1259456
CGI_10009943,-0.224958818,0.125965447
CGI_10010051,0.211616856,0.125979455
CGI_10011288,0.406642053,0.126011583
CGI_10019238,0.392984984,0.126049194
CGI_10017444,-0.419264122,0.126139531
CGI_10028115,0.211178037,0.126174995
CGI_10016091,-0.281684552,0.126178611
CGI_10002658,0.201121091,0.126310268
CGI_10004132,0.273709926,0.126310268
CGI_10006754,0.367237104,0.126310268
CGI_10017177,0.239416196,0.126310268
CGI_10024912,0.614248508,0.126310268
CGI_10025332,-0.262883294,0.126310268
CGI_10014086,-0.362733929,0.126329515
CGI_10025114,-0.230224047,0.126329515
CGI_10004242,-0.3460509,0.126333207
CGI_10011683,-0.69325418,0.126399132
CGI_10018922,0.23667057,0.126532304
CGI_10014465,0.263043142,0.126566115
CGI_10025737,0.287813341,0.126566115
CGI_10020247,-0.446389574,0.126769981
CGI_10010284,0.295082658,0.126983863
CGI_10026828,0.240955846,0.127108948
CGI_10015505,0.207394237,0.127264232
CGI_10007244,0.462863883,0.12727327
CGI_10020401,-0.616129848,0.127284476
CGI_10020407,-0.201654292,0.127295937
CGI_10024260,0.269158776,0.127359405
CGI_10002379,0.55166687,0.127494803
CGI_10017462,0.715899641,0.12751692
CGI_10016915,-0.682242991,0.127731853
CGI_10021966,-0.566473278,0.127756472
CGI_10027594,-0.225662319,0.127756472
CGI_10022478,-0.278465476,0.127766054
CGI_10018958,-0.315785755,0.127768955
CGI_10005799,-0.462675295,0.12780594
CGI_10019649,-0.483162801,0.12780594
CGI_10013046,-0.186952689,0.127810168
CGI_10019051,0.262924423,0.127840031
CGI_10027064,-0.573192551,0.127902302
CGI_10002010,-0.417503102,0.128041323
CGI_10015458,0.247133888,0.128081058
CGI_10017379,-0.480438414,0.128081058
CGI_10025759,0.242342993,0.128134835
CGI_10017659,0.288547299,0.128282669
CGI_10021562,0.196234516,0.128433733
CGI_10021928,0.492509867,0.128433733
CGI_10025621,-0.267224234,0.128433733
CGI_10020395,0.344065081,0.12845022
CGI_10010394,-0.541425827,0.128451044
